,SATID,satname,program,valid,area_1,area_2
46384,,,,0.0,,
46385,,,,0.0,,
46386,,,,0.0,,
46387,,,,0.0,,
46388,,,,0.0,,
46389,,,,0.0,,
46390,,,,0.0,,
46391,,,,0.0,,
46392,,,,0.0,,
46393,,,,0.0,,
46394,,,,0.0,,
46395,,,,0.0,,
46396,,,,0.0,,
46397,,,,0.0,,
46398,,,,0.0,,
46399,,,,0.0,,
46400,,,,0.0,,
46401,,,,0.0,,
46402,,,,0.0,,
46403,,,,0.0,,
46404,,,,0.0,,
46405,,,,0.0,,
46406,,,,0.0,,
46407,S48553,Starlink 2063,Starlink,1.0,0.56,25.2
46408,S48554,Starlink 2139,Starlink,1.0,0.56,25.2
46409,S48555,Starlink 2145,Starlink,1.0,0.56,25.2
46410,S48556,Starlink 2151,Starlink,1.0,0.56,25.2
46411,S48557,Starlink 2155,Starlink,1.0,0.56,25.2
46412,S48558,Starlink 2166,Starlink,1.0,0.56,25.2
46413,,,,0.0,,
46414,,,,0.0,,
46415,,,,0.0,,
46416,S48562,Starlink 2187,Starlink,1.0,0.56,25.2
46417,S48563,Starlink 2188,Starlink,1.0,0.56,25.2
46418,S48564,Starlink 2190,Starlink,1.0,0.56,25.2
46419,,,,0.0,,
46420,S48566,Starlink 2214,Starlink,1.0,0.56,25.2
46421,,,,0.0,,
46422,S48568,Starlink 2217,Starlink,1.0,0.56,25.2
46423,S48569,Starlink 2219,Starlink,1.0,0.56,25.2
46424,S48570,Starlink 2220,Starlink,1.0,0.56,25.2
46425,S48571,Starlink 2221,Starlink,1.0,0.56,25.2
46426,S48572,Starlink 2222,Starlink,1.0,0.56,25.2
46427,S48573,Starlink 2224,Starlink,1.0,0.56,25.2
46428,,,,0.0,,
46429,S48575,Starlink 2227,Starlink,1.0,0.56,25.2
46430,S48576,Starlink 2228,Starlink,1.0,0.56,25.2
46431,S48577,Starlink 2231,Starlink,1.0,0.56,25.2
46432,S48578,Starlink 2232,Starlink,1.0,0.56,25.2
46433,,,,0.0,,
46434,S48580,Starlink 2234,Starlink,1.0,0.56,25.2
46435,S48581,Starlink 2235,Starlink,1.0,0.56,25.2
46436,S48582,Starlink 2236,Starlink,1.0,0.56,25.2
46437,S48583,Starlink 2237,Starlink,1.0,0.56,25.2
46438,S48584,Starlink 2238,Starlink,1.0,0.56,25.2
46439,,,,0.0,,
46440,S48586,Starlink 2241,Starlink,1.0,0.56,25.2
46441,,,,0.0,,
46442,,,,0.0,,
46443,S48589,Starlink 2245,Starlink,1.0,0.56,25.2
46444,,,,0.0,,
46445,,,,0.0,,
46446,S48592,Starlink 2249,Starlink,1.0,0.56,25.2
46447,S48593,Starlink 2250,Starlink,1.0,0.56,25.2
46448,S48594,Starlink 2251,Starlink,1.0,0.56,25.2
46449,S48595,Starlink 2252,Starlink,1.0,0.56,25.2
46450,S48596,Starlink 2253,Starlink,1.0,0.56,25.2
46451,S48597,Starlink 2255,Starlink,1.0,0.56,25.2
46452,,,,0.0,,
46453,,,,0.0,,
46454,,,,0.0,,
46455,,,,0.0,,
46456,S48602,Starlink 2713,Starlink,1.0,0.56,25.2
46457,S48603,Starlink 2714,Starlink,1.0,0.56,25.2
46458,S48604,Starlink 2757,Starlink,1.0,0.56,25.2
46459,,,,0.0,,
46460,S48606,GEOSTARE SV2,LLNL,1.0,0.06,0.06
46461,S48607,Starlink deployment rail,-,1.0,0.14,0.14
46462,S48608,Starlink deployment rail,-,1.0,0.14,0.14
46463,S48609,Starlink deployment rail,-,1.0,0.14,0.14
46464,S48610,Starlink deployment rail,-,1.0,0.14,0.14
46465,,,,0.0,,
46466,,,,0.0,,
46467,,,,0.0,,
46468,,,,0.0,,
46469,,,,0.0,,
46470,,,,0.0,,
46471,,,,0.0,,
46472,S48618,SBIRS GEO-5,SBIRS GEO,1.0,15.0,62.5
46473,,,,0.0,,
46474,,,,0.0,,
46475,S48621,Hai Yang 2-04,HY-2,1.0,1.0,4.0
46476,,,,0.0,,
46477,,,,0.0,,
46478,S48624,CZ-4B Y48 Stage 3,-,1.0,20.01,20.01
46479,,,,0.0,,
46480,,,,0.0,,
46481,,,,0.0,,
46482,,,,0.0,,
46483,,,,0.0,,
46484,,,,0.0,,
46485,,,,0.0,,
46486,,,,0.0,,
46487,,,,0.0,,
46488,,,,0.0,,
46489,,,,0.0,,
46490,,,,0.0,,
46491,,,,0.0,,
46492,,,,0.0,,
46493,S48639,Starlink 2739,Starlink,1.0,0.56,25.2
46494,S48640,Starlink 2736,Starlink,1.0,0.56,25.2
46495,S48641,Starlink 2754,Starlink,1.0,0.56,25.2
46496,S48642,Starlink 2646,Starlink,1.0,0.56,25.2
46497,S48643,Starlink 2704,Starlink,1.0,0.56,25.2
46498,S48644,Starlink 2695,Starlink,1.0,0.56,25.2
46499,,,,0.0,,
46500,S48646,Starlink 2732,Starlink,1.0,0.56,25.2
46501,,,,0.0,,
46502,S48648,Starlink 2521,Starlink,1.0,0.56,25.2
46503,S48649,Starlink 2673,Starlink,1.0,0.56,25.2
46504,S48650,Starlink 2672,Starlink,1.0,0.56,25.2
46505,S48651,Starlink 2731,Starlink,1.0,0.56,25.2
46506,S48652,Starlink 2727,Starlink,1.0,0.56,25.2
46507,S48653,Starlink 2720,Starlink,1.0,0.56,25.2
46508,,,,0.0,,
46509,S48655,Starlink 2657,Starlink,1.0,0.56,25.2
46510,S48656,Starlink 2701,Starlink,1.0,0.56,25.2
46511,S48657,Starlink 2734,Starlink,1.0,0.56,25.2
46512,S48658,Starlink 2647,Starlink,1.0,0.56,25.2
46513,S48659,Starlink 2717,Starlink,1.0,0.56,25.2
46514,,,,0.0,,
46515,,,,0.0,,
46516,S48662,Starlink 2726,Starlink,1.0,0.56,25.2
46517,S48663,Starlink 2667,Starlink,1.0,0.56,25.2
46518,,,,0.0,,
46519,,,,0.0,,
46520,S48666,Starlink 2666,Starlink,1.0,0.56,25.2
46521,S48667,Starlink 2735,Starlink,1.0,0.56,25.2
46522,S48668,Starlink 2738,Starlink,1.0,0.56,25.2
46523,S48669,Starlink 2707,Starlink,1.0,0.56,25.2
46524,S48670,Starlink 2763,Starlink,1.0,0.56,25.2
46525,S48671,Starlink 2745,Starlink,1.0,0.56,25.2
46526,S48672,Starlink 2705,Starlink,1.0,0.56,25.2
46527,S48673,Starlink 2711,Starlink,1.0,0.56,25.2
46528,S48674,Starlink 2712,Starlink,1.0,0.56,25.2
46529,,,,0.0,,
46530,S48676,Starlink 2746,Starlink,1.0,0.56,25.2
46531,,,,0.0,,
46532,S48678,Starlink 2615,Starlink,1.0,0.56,25.2
46533,S48679,Starlink 2648,Starlink,1.0,0.56,25.2
46534,,,,0.0,,
46535,S48681,Starlink 2725,Starlink,1.0,0.56,25.2
46536,S48682,Starlink 2743,Starlink,1.0,0.56,25.2
