,NORAD_ID,satname,area_1,area_2,valid,program
14520,S16030,SOLWIND DEB,,,,
14521,S16031,SOLWIND DEB,,,,
14522,S16032,SOLWIND DEB,,,,
14523,S16033,SOLWIND DEB,,,,
14524,S16034,SOLWIND DEB,,,,
14525,S16035,SOLWIND DEB,,,,
14526,S16036,SOLWIND DEB,,,,
14527,S16037,SOLWIND DEB,,,,
14528,S16038,SOLWIND DEB,,,,
14529,S16039,SOLWIND DEB,,,,
14530,S16040,SOLWIND DEB,,,,
14531,S16041,SOLWIND DEB,,,,
14532,S16042,SOLWIND DEB,,,,
14533,S16043,SOLWIND DEB,,,,
14534,S16044,SOLWIND DEB,,,,
14535,S16045,SOLWIND DEB,,,,
14536,S16046,SALYUT 7 DEB,,,,
14537,S16047,SALYUT 7 DEB,,,,
14538,S16048,SALYUT 7 DEB,,,,
14539,S16049,SALYUT 7 DEB,,,,
14540,S16050,SALYUT 7 DEB,,,,
14541,S16051,SOYUZ-T 14,,,,
14542,S16052,SL-4 R/B,,,,
14543,S16053,SALYUT 7 DEB,,,,
14544,S16054,COSMOS 1682,,,,
14545,S16055,SL-11 R/B,,,,
14546,S16056,COSMOS 1683,,,,
14547,S16057,SL-4 R/B,,,,
14548,S16058,COSMOS 1681 DEB,,,,
14549,S16059,COSMOS 1681 DEB,,,,
14550,S16060,COSMOS 1681 DEB,,,,
14551,S16061,SL-6 DEB,,,,
14552,S16062,SALYUT 7 DEB,,,,
14553,S16063,SALYUT 7 DEB,,,,
14554,S16064,COSMOS 1684,8.0,10.0,1.0,Oko
14555,S16065,SL-6 R/B(1),,,,
14556,S16066,SL-6 PLAT,,,,
14557,S16067,COSMOS 1601 DEB,,,,
14558,S16068,COSMOS 1601 DEB,,,,
14559,S16069,COSMOS 1601 DEB,,,,
14560,S16070,SL-6 R/B(2),7.59,7.59,1.0,-
14561,S16071,SOLWIND DEB,,,,
14562,S16072,SOLWIND DEB,,,,
14563,S16073,SOLWIND DEB,,,,
14564,S16074,SOLWIND DEB,,,,
14565,S16075,SOLWIND DEB,,,,
14566,S16076,SOLWIND DEB,,,,
14567,S16077,COSMOS 1601 DEB,,,,
14568,S16078,SOLWIND DEB,,,,
14569,S16079,SOLWIND DEB,,,,
14570,S16080,SOLWIND DEB,,,,
14571,S16081,SOLWIND DEB,,,,
14572,S16082,SOLWIND DEB,,,,
14573,S16083,SOLWIND DEB,,,,
14574,S16084,SOLWIND DEB,,,,
14575,S16085,SOLWIND DEB,,,,
14576,S16086,SOLWIND DEB,,,,
14577,S16087,SOLWIND DEB,,,,
14578,S16088,COSMOS 1685,,,,
14579,S16089,SL-4 R/B,,,,
14580,S16090,SL-6 DEB,,,,
14581,S16091,SALYUT 7 DEB,,,,
14582,S16092,SALYUT 7 DEB,,,,
14583,S16093,SALYUT 7 DEB,,,,
14584,S16094,SALYUT 7 DEB,,,,
14585,S16095,COSMOS 1686,,,,
14586,S16096,SL-13 R/B,,,,
14587,S16097,SOYUZ-T 13 ORBIT MODULE,,,,
14588,S16098,SALYUT 7 DEB,,,,
14589,S16099,SALYUT 7 DEB,,,,
14590,S16100,SALYUT 7 DEB,,,,
14591,S16101,INTELSAT 512,12.8,31.2,1.0,Intelsat
14592,S16102,ATLAS CENTAUR R/B,,,,
14593,S16103,COSMOS 1687,8.0,10.0,1.0,Oko
14594,S16104,SL-6 R/B(1),,,,
14595,S16105,SL-6 PLAT,,,,
14596,S16106,SL-6 R/B(2),7.59,7.59,1.0,-
14597,S16107,COSMOS 1688,,,,
14598,S16108,SL-8 R/B,,,,
14599,S16109,COSMOS 1601 DEB,,,,
14600,S16110,COSMOS 1689,,,,
14601,S16111,SL-3 R/B,,,,
14602,S16112,MOLNIYA 3-26,,,,
14603,S16113,SL-6 R/B(1),,,,
14604,S16114,SL-6 PLAT,,,,
14605,S16115,STS 51J,,,,
14606,S16116,USA 11,3.99,18.05,1.0,DSCS 3
14607,S16117,USA 12,3.99,18.05,1.0,DSCS 3
14608,S16118,IUS R/B(1),8.05,8.05,1.0,-
14609,S16119,IUS R/B(2),3.36,3.36,1.0,-
14610,S16120,COSMOS 1683 DEB,,,,
14611,S16121,COSMOS 1683 DEB,,,,
14612,S16122,SALYUT 7 DEB,,,,
14613,S16123,COSMOS 1683 DEB,,,,
14614,S16124,COSMOS 1683 DEB,,,,
14615,S16125,SL-6 R/B(2),,,,
14616,S16126,COSMOS 1683 DEB,,,,
14617,S16127,COSMOS 1683 DEB,,,,
14618,S16128,COSMOS 1686 DEB,,,,
14619,S16129,NAVSTAR 11 (USA 10),6.24,13.78,1.0,GPS
14620,S16130,SOLWIND DEB,,,,
14621,S16131,SOLWIND DEB,,,,
14622,S16132,SOLWIND DEB,,,,
14623,S16133,SOLWIND DEB,,,,
14624,S16134,COSMOS 1685 DEB,,,,
14625,S16135,COSMOS 1685 DEB,,,,
